
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 011
--------------------------------------------
1 | Ball Receipt | 11:02 | Kobbie Mainoo | Incomplete | Right Defensive Midfield | Right Defensive Midfield | Marc Cucurella Saseta | N/A  
176 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
177 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
178 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
179 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
180 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
181 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
182 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
183 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
184 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
185 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
186 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
187 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
188 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
189 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
190 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
191 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
192 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
193 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
194 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
195 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
196 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
197 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
198 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
199 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
200 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
201 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
202 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
203 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
204 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
205 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
206 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
207 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
208 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
209 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
210 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
211 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
212 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
213 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
214 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
215 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
216 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
217 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
218 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
219 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
220 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
221 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
222 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
223 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
224 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
225 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
226 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
227 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
228 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
229 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
230 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
231 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
232 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
233 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
234 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
235 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
236 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
237 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
238 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
239 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
240 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
241 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
242 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
243 | Pressure | 
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 015
--------------------------------------------
1 | Pressure | 15:54 | Nicholas Williams Arthuer | applies pressure | Left Wing | Left Wing | England | 
2 | Pass | 15:55 | John Stones | passes to Jordan Pickford | Right Center Back | Goalkeeper | England | 
3 | Ball Receipt | 15:59 | Jordan Pickford | receives ball | Goalkeeper | Goalkeeper | England | 
4 | Carry | 15:59 | Jordan Pickford | carries ball | Goalkeeper | Goalkeeper | England | 
5 | Pass | 15:18 | Phil Foden | passes | Center Attacking Midfield | Corner | England | 
6 | Clearance | 15:19 | Álvaro Borja Morata Martín | clears ball | Center Forward | Center Forward | Spain | 
7 | Ball Recovery | 15:22 | Declan Rice | recovers ball | Left Defensive Midfield | Left Defensive Midfield | England | 
8 | Carry | 15:22 | Declan Rice | carries ball | Left Defensive Midfield | Left Defensive Midfield | England | 
9 | Pass | 15:26 | Declan Rice | passes to Kyle Walker | Left Defensive Midfield | Right Back | England | 
10 | Ball Receipt | 15:28 | Kyle Walker | receives ball | Right Back | Right Back | England | 
11 | Carry | 15:28 | Kyle Walker | carries ball | Right Back | Right Back | England | 
12 | Carry | 15:47 | Phil Foden | carries ball | Center Attacking Midfield | Center Attacking Midfield | England | 
13 | Pass | 15:30 | Kyle Walker | passes to Luke Shaw | Right Back | Left Back | England | 
14 | Ball Receipt | 15:32 | Luke Shaw | receives ball | Left Back | Left Back | England | 
15 | Carry | 15:32 | Luke Shaw | carries ball | Left Back | Left Back | England | 
16 | Pass | 15:34 | Luke Shaw | passes to Marc Guehi | Left Back | Left Center Back | England | 
17 | Ball Receipt | 15:36 | Marc Guehi | receives ball | Left Center Back | Left Center Back | England | 
18 | Carry | 15:36 | Marc Guehi | carries ball | Left Center Back | Left Center Back | England | 
19 | Pass | 15:38 | Marc Guehi | passes to Declan Rice | Left Center Back | Left Defensive Midfield | England | 
20 | Ball Receipt | 15:39 | Declan Rice | receives ball | Left Defensive Midfield | Left Defensive Midfield | England | 
21 | Carry | 15:39 | Declan Rice | carries ball | Left Defensive Midfield | Left Defensive Midfield | England | 
22 | Pass | 15:43 | Declan Rice | passes to John Stones | Left Defensive Midfield | Right Center Back | England | 
23 | Ball Receipt | 15:44 | John Stones | receives ball | Right Center Back | Right Center Back | England | 
24 | Carry | 15:44 | John Stones | carries ball | Right Center Back | Right Center Back | England | 
25 | Pass | 15:46 | John Stones | passes to Phil Foden | Right Center Back | Center Attacking Midfield | England | 
26 | Ball Receipt | 15:47 | Phil Foden | receives ball | Center Attacking Midfield | Center Attacking Midfield | England | 
27 | Pressure | 15:48 | Fabián Ruiz Peña | applies pressure | Left Defensive Midfield | Left Defensive Midfield | Spain | 
28 | Pressure | 15:48 | Nicholas Williams Arthuer | applies pressure | Left Wing | Left Wing | Spain | 
29 | Pass | 15:49 | Phil Foden | passes to Kobbie Mainoo | Center Attacking Midfield | Right Defensive Midfield | England | 
30 | Ball Receipt | 15:49 | Kobbie Mainoo | receives ball | Right Defensive Midfield | Right Defensive Midfield | England | 
31 | Carry | 15:49 | Kobbie Mainoo | carries ball | Right Defensive Midfield | Right Defensive Midfield | England | 
32 | Pressure | 15:50 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | Spain | 
33 | Pass | 15:50 | Kobbie Mainoo | passes to John Stones | Right Defensive Midfield | Right Center Back | England | 
34 | Ball Receipt | 15:52 | John Stones | receives ball | Right Center Back | Right Center Back | England | 
35 | Carry | 15:52 | John Stones | carries ball | Right Center Back | Right Center Back | England | 
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 016
--------------------------------------------
1 | carry | 00:16:24 | Luke Shaw | carries the ball | Left Back | Left Back | Jude Bellingham | 
2 | pressure | 00:16:01 | Álvaro Morata | applies pressure | Center Forward | Center Forward | England | 
3 | pass | 00:16:01 | Jordan Pickford | passes to Jude Bellingham | Goalkeeper | Goalkeeper | England | 
4 | ball receipt | 00:16:04 | Jude Bellingham | receives the ball | Left Wing | Left Wing | England | 
5 | pass | 00:16:04 | Jude Bellingham | passes to Luke Shaw | Left Wing | Left Wing | England | 
6 | ball receipt | 00:16:05 | Luke Shaw | receives the ball | Left Back | Left Back | England | 
7 | carry | 00:16:05 | Luke Shaw | carries the ball | Left Back | Left Back | England | 
8 | pass | 00:16:07 | Luke Shaw | passes to Bukayo Saka | Left Back | Left Back | England | 
9 | ball receipt | 00:16:10 | Bukayo Saka | receives the ball | Right Wing | Right Wing | England | 
10 | carry | 00:16:10 | Bukayo Saka | carries the ball | Right Wing | Right Wing | England | 
11 | pressure | 00:16:17 | Marc Cucurella | applies pressure | Left Back | Left Back | England | 
12 | block | 00:16:34 | Declan Rice | blocks the ball | Left Defensive Midfield | Left Defensive Midfield | England | 
13 | pass | 00:16:19 | Bukayo Saka | passes to Declan Rice | Right Wing | Right Wing | England | 
14 | ball receipt | 00:16:20 | Declan Rice | receives the ball | Left Defensive Midfield | Left Defensive Midfield | England | 
15 | shot | 00:16:20 | Declan Rice | shoots to goal | Left Defensive Midfield | Left Defensive Midfield | Unai Simón | **goal blocked** 
16 | block | 00:16:20 | Rodrigo Hernández | blocks the shot | Right Defensive Midfield | Right Defensive Midfield | England | 
17 | goalkeeper save | 00:16:20 | Unai Simón | saves the shot | Goalkeeper | Goalkeeper | England | 
18 | ball recovery | 00:16:23 | Jude Bellingham | recovers the ball | Left Wing | Left Wing | England | 
19 | carry | 00:16:23 | Jude Bellingham | carries the ball | Left Wing | Left Wing | England | 
20 | pressure | 00:16:23 | Lamine Yamal | applies pressure | Right Wing | Right Wing | England | 
21 | pass | 00:16:24 | Jude Bellingham | passes to Luke Shaw | Left Wing | Left Wing | England | 
22 | ball receipt | 00:16:24 | Luke Shaw | receives the ball | Left Back | Left Back | England | 
23 | pass | 00:16:27 | Luke Shaw | passes to Phil Foden | Left Back | Left Back | England | 
24 | ball receipt | 00:16:27 | Phil Foden | receives the ball | Center Attacking Midfield | Center Attacking Midfield | England | 
25 | block | 00:16:27 | Daniel Carvajal | blocks the pass | Right Back | Right Back | England | 
26 | clearance | 00:16:29 | Marc Cucurella | clears the ball | Left Back | Left Back | England | 
27 | ball recovery | 00:16:32 | Álvaro Morata | recovers the ball | Center Forward | Center Forward | England | 
28 | carry | 00:16:32 | Álvaro Morata | carries the ball | Center Forward | Center Forward | England | 
29 | pass | 00:16:33 | Álvaro Morata | passes the ball | Center Forward | Center Forward | England | 
30 | duel | 00:16:35 | Harry Kane | loses aerial duel | Center Forward | Center Forward | England | 
31 | pass | 00:16:35 | Álvaro Morata | passes to Rodrigo Hernández | Center Forward | Center Forward | England | 
32 | ball receipt | 00:16:36 | Rodrigo Hernández | receives the ball | Right Defensive Midfield | Right Defensive Midfield | England | 
33 | pass | 00:16:36 | Rodrigo Hernández | passes the ball | Right Defensive Midfield | Right Defensive Midfield | England | 
34 | shot | 00:16:36 | Declan Rice | shoots to goal | Left Defensive Midfield | Left Defensive Midfield | Unai Simón | **goal blocked** 
35 | block | 00:16:36 | Unai Simón | saves the shot | Goalkeeper | Goalkeeper | England | 
36 | ball recovery | 00:16:39 | Jude Bellingham | recovers the ball | Left Wing | Left Wing | England | 
37 | carry | 00:16:40 | Jude Bellingham | carries the ball | Left Wing | Left Wing | England | 
38 | pass | 00:16:41 | Marc Guehi | passes to Declan Rice | Left Center Back | Left Center Back | England | 
39 | ball receipt | 00:16:41 | Declan Rice | receives the ball | Left Defensive Midfield | Left Defensive Midfield | England | 
40 | carry | 00:16:41 | Declan Rice | carries the ball | Left Defensive Midfield | Left Defensive Midfield | England | 
41 | pass | 00:16:42 | Declan Rice | passes to Jude Bellingham | Left Defensive Midfield | Left Defensive Midfield | England | 
42 | ball receipt | 00:16:43 | Jude Bellingham | receives the ball | Left Wing | Left Wing | England | 
43 | pass | 00:16:43 | Jude Bellingham | passes to John Stones | Left Wing | Left Wing | England | 
44 | ball receipt | 00:16:44 | John Stones | receives the ball | Right Center Back | Right Center Back | England | 
45 | carry | 00:16:44 | John Stones | carries the ball | Right Center Back | Right Center Back | England | 
46 | pass | 00:16:45 | John Stones | passes to Bukayo Saka | Right Center Back | Right Center Back | England | 
47 | ball receipt | 00:16:47 | Bukayo Saka | receives the ball | Right Wing | Right Wing | England | 
48 | carry | 00:16:47 | Bukayo Saka | carries the ball | Right Wing | Right Wing | England | 
49 | pressure | 00:16:53 | Marc Cucurella | applies pressure | Left Back | Left Back | England | 
50 | pass | 00:16:53 | Bukayo Saka | passes to Phil Foden | Right Wing | Right Wing | England | 
51 | ball receipt | 00:16:54 | Phil Foden | receives the ball | Center Attacking Midfield | Center Attacking Midfield | England | 
52 | carry | 00:16:54 | Phil Foden | carries the ball | Center Attacking Midfield | Center Attacking Midfield | England | 
53 | pressure | 00:16:54 | Rodrigo Hernández | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
54 | pass | 00:16:55 | Aymeric Laporte | passes to Daniel Olmo | Left Center Back | Left Center Back | Spain | 
55 | ball receipt | 00:16:56 | Daniel Olmo | receives the ball | Center Attacking Midfield | Center Attacking Midfield | Spain | 
56 | carry | 00:16:56 | Daniel Olmo | carries the ball | Center Attacking Midfield | Center Attacking Midfield | Spain | 
57 | pass | 00:16:59 | Daniel Olmo | passes to Lamine Yamal | Center Attacking Midfield | Center Attacking Midfield | Spain | 
58 | ball receipt | 00:16:59 | Lamine Yamal | receives the ball | Right Wing | Right Wing | Spain | 
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 017
--------------------------------------------
1 | carry | 17:30 | Robin Aime Robert Le Normand | carries the ball | Right Center Back | 49.6, 60.9 | Daniel Carvajal Ramos | 
2 | ball receipt | 17:44 | Unai Simón Mendibil | receives the ball | Goalkeeper | 13.5, 46.6 | | 
3 | pass | 17:59 | Aymeric Laporte | passes the ball | Left Center Back | 63.2, 20.2 | Daniel Olmo Carvajal | 
4 | carry | 17:56 | Aymeric Laporte | carries the ball | Left Center Back | 51.7, 20.4 | | 
5 | ball receipt | 17:56 | Aymeric Laporte | receives the ball | Left Center Back | 51.7, 20.4 | | 
6 | pass | 17:54 | Robin Aime Robert Le Normand | passes the ball | Right Center Back | 42.9, 40.8 | Aymeric Laporte | 
7 | carry | 17:53 | Robin Aime Robert Le Normand | carries the ball | Right Center Back | 42.9, 41.1 | | 
8 | ball receipt | 17:53 | Robin Aime Robert Le Normand | receives the ball | Right Center Back | 42.9, 41.1 | | 
9 | pass | 17:51 | Aymeric Laporte | passes the ball | Left Center Back | 45.7, 23.0 | Robin Aime Robert Le Normand | 
10 | carry | 17:47 | Aymeric Laporte | carries the ball | Left Center Back | 32.3, 25.5 | | 
11 | ball receipt | 17:47 | Aymeric Laporte | receives the ball | Left Center Back | 32.3, 25.5 | | 
12 | pass | 17:46 | Unai Simón Mendibil | passes the ball | Goalkeeper | 20.8, 33.8 | Aymeric Laporte | 
13 | pass | 17:42 | Daniel Carvajal Ramos | passes the ball | Right Back | 48.4, 73.8 | Unai Simón Mendibil | 
14 | carry | 17:39 | Daniel Carvajal Ramos | carries the ball | Right Back | 58.8, 76.8 | | 
15 | ball receipt | 17:39 | Daniel Carvajal Ramos | receives the ball | Right Back | 58.8, 76.8 | | 
16 | ball receipt | 17:00 | Lamine Yamal Nasraoui Ebana | receives the ball | Right Wing | 39.8, 75.0 | | 
17 | carry | 17:00 | Lamine Yamal Nasraoui Ebana | carries the ball | Right Wing | 39.8, 75.0 | | 
18 | pass | 17:01 | Lamine Yamal Nasraoui Ebana | passes the ball | Right Wing | 39.8, 75.0 | | 
19 | block | 17:02 | Luke Shaw | blocks the pass | Left Back | 74.8, 5.5 | Lamine Yamal Nasraoui Ebana | 
20 | pass | 17:14 | Daniel Carvajal Ramos | passes the ball | Right Back | 38.2, 80.0 | Fabián Ruiz Peña | 
21 | pressure | 17:16 | Kobbie Mainoo | applies pressure | Right Defensive Midfield | 83.8, 23.6 | | 
22 | ball receipt | 17:16 | Fabián Ruiz Peña | receives the ball | Left Defensive Midfield | 35.1, 56.3 | | 
23 | carry | 17:44 | Unai Simón Mendibil | carries the ball | Goalkeeper | 13.5, 46.6 | | 
24 | pass | 17:16 | Fabián Ruiz Peña | passes the ball | Left Defensive Midfield | 35.4, 56.3 | Unai Simón Mendibil | 
25 | ball receipt | 17:18 | Unai Simón Mendibil | receives the ball | Goalkeeper | 8.5, 43.3 | | 
26 | carry | 17:18 | Unai Simón Mendibil | carries the ball | Goalkeeper | 8.5, 43.3 | | 
27 | pass | 17:20 | Unai Simón Mendibil | passes the ball | Goalkeeper | 8.4, 43.8 | Aymeric Laporte | 
28 | pass | 17:22 | Aymeric Laporte | passes the ball | Left Center Back | 19.3, 34.7 | Robin Aime Robert Le Normand | 
29 | carry | 17:21 | Aymeric Laporte | carries the ball | Left Center Back | 19.3, 34.7 | | 
30 | pass | 17:25 | Marc Cucurella Saseta | passes the ball | Left Back | 34.5, 12.9 | Aymeric Laporte | 
31 | ball receipt | 17:24 | Marc Cucurella Saseta | receives the ball | Left Back | 34.5, 12.9 | | 
32 | carry | 17:24 | Marc Cucurella Saseta | carries the ball | Left Back | 34.5, 12.9 | | 
33 | pass | 17:38 | Robin Aime Robert Le Normand | passes the ball | Right Center Back | 49.6, 60.9 | Daniel Carvajal Ramos | 
34 | ball receipt | 17:30 | Robin Aime Robert Le Normand | receives the ball | Right Center Back | 35.8, 56.3 | | 
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 018
--------------------------------------------
1 | ball receipt | 00:18 | Daniel Olmo Carvajal | received the ball | Center Attacking Midfield | midfield | Álvaro Borja Morata Martín | incomplete
2 | carry | 00:18 | Daniel Olmo Carvajal | carried the ball | Center Attacking Midfield | midfield | | 
3 | pass | 00:18 | Daniel Olmo Carvajal | passed the ball | Center Attacking Midfield | midfield | Álvaro Borja Morata Martín | incomplete
4 | pressure | 00:18 | Lamine Yamal Nasraoui Ebana | applied pressure | Right Wing | wing | | 
5 | ball receipt | 00:18 | Álvaro Borja Morata Martín | received the ball | Center Forward | forward | | incomplete
6 | clearance | 00:18 | Luke Shaw | cleared the ball | Left Back | defense | | 
7 | pass | 00:18 | Marc Cucurella Saseta | passed the ball | Left Back | defense | Fabián Ruiz Peña | 
8 | ball receipt | 00:18 | Fabián Ruiz Peña | received the ball | Left Defensive Midfield | midfield | | 
9 | carry | 00:18 | Fabián Ruiz Peña | carried the ball | Left Defensive Midfield | midfield | | 
10 | pressure | 00:18 | Kobbie Mainoo | applied pressure | Right Defensive Midfield | midfield | | 
11 | carry | 00:18 | Daniel Carvajal Ramos | carried the ball | Right Back | defense | | 
12 | pass | 00:18 | Fabián Ruiz Peña | passed the ball | Left Defensive Midfield | midfield | Aymeric Laporte | 
13 | ball receipt | 00:18 | Aymeric Laporte | received the ball | Left Center Back | defense | | 
14 | carry | 00:18 | Aymeric Laporte | carried the ball | Left Center Back | defense | | 
15 | pass | 00:18 | Aymeric Laporte | passed the ball | Left Center Back | defense | Robin Aime Robert Le Normand | 
16 | ball receipt | 00:18 | Robin Aime Robert Le Normand | received the ball | Right Center Back | defense | | 
17 | carry | 00:18 | Robin Aime Robert Le Normand | carried the ball | Right Center Back | defense | | 
18 | pass | 00:18 | Robin Aime Robert Le Normand | passed the ball | Right Center Back | defense | Fabián Ruiz Peña | 
19 | ball receipt | 00:18 | Fabián Ruiz Peña | received the ball | Left Defensive Midfield | midfield | | 
20 | carry | 00:18 | Fabián Ruiz Peña | carried the ball | Left Defensive Midfield | midfield | | 
21 | pass | 00:18 | Fabián Ruiz Peña | passed the ball | Left Defensive Midfield | midfield | Marc Cucurella Saseta | 
22 | ball receipt | 00:18 | Marc Cucurella Saseta | received the ball | Left Back | defense | | 
23 | pass | 00:18 | Marc Cucurella Saseta | passed the ball | Left Back | defense | Fabián Ruiz Peña | 
24 | ball receipt | 00:18 | Fabián Ruiz Peña | received the ball | Left Defensive Midfield | midfield | | 
25 | carry | 00:18 | Fabián Ruiz Peña | carried the ball | Left Defensive Midfield | midfield | | 
26 | pass | 00:18 | Fabián Ruiz Peña | passed the ball | Left Defensive Midfield | midfield | Daniel Olmo Carvajal | 
27 | ball receipt | 00:18 | Daniel Olmo Carvajal | received the ball | Center Attacking Midfield | midfield | | 
28 | carry | 00:18 | Daniel Olmo Carvajal | carried the ball | Center Attacking Midfield | midfield | | 
29 | pass | 00:18 | Daniel Olmo Carvajal | passed the ball | Center Attacking Midfield | midfield | Daniel Carvajal Ramos | 
30 | ball receipt | 00:18 | Daniel Carvajal Ramos | received the ball | Right Back | defense | | 
31 | pass | 00:18 | Daniel Carvajal Ramos | crossed the ball | Right Back | defense | | incomplete
32 | goalkeeper save | 00:18 | Jordan Pickford | collected the ball | Goalkeeper | goal | | success
33 | carry | 00:18 | Jordan Pickford | carried the ball | Goalkeeper | goal | | 
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 019
--------------------------------------------
1 | carry | 19:27 | Declan Rice | carries the ball | Left Defensive Midfield | Left Defensive Midfield | Jude Bellingham | 
2 | pass | 19:07 | Marc Guehi | passes the ball | Left Center Back | Left Center Back | Jude Bellingham | 
3 | ball receipt | 19:09 | Jude Bellingham | receives the ball | Left Wing | Left Wing | Marc Guehi | 
4 | carry | 19:09 | Jude Bellingham | carries the ball | Left Wing | Left Wing | Fabián Ruiz Peña | 
5 | pressure | 19:09 | Fabián Ruiz Peña | applies pressure | Left Defensive Midfield | Left Defensive Midfield | Jude Bellingham | 
6 | pass | 19:12 | Jude Bellingham | passes the ball | Left Wing | Left Wing | Luke Shaw | 
7 | ball receipt | 19:15 | Luke Shaw | receives the ball | Left Back | Left Back | Jude Bellingham | 
8 | carry | 19:41 | Marc Cucurella Saseta | carries the ball | Left Back | Left Back | | 
9 | ball receipt | 19:21 | Fabián Ruiz Peña | receives the ball | Left Defensive Midfield | Left Defensive Midfield | | 
10 | carry | 19:21 | Fabián Ruiz Peña | carries the ball | Left Defensive Midfield | Left Defensive Midfield | | 
11 | pressure | 19:22 | Jude Bellingham | applies pressure | Left Wing | Left Wing | Fabián Ruiz Peña | 
12 | pass | 19:26 | Fabián Ruiz Peña | passes the ball | Left Defensive Midfield | Left Defensive Midfield | | 
13 | ball recovery | 19:27 | Declan Rice | recovers the ball | Left Defensive Midfield | Left Defensive Midfield | Fabián Ruiz Peña | 
14 | dribble | 19:29 | Declan Rice | dribbles the ball | Left Defensive Midfield | Left Defensive Midfield | | 
15 | ball receipt | 19:56 | Nicholas Williams Arthuer | receives the ball | Left Wing | Left Wing | | 
16 | pass | 19:54 | Daniel Olmo Carvajal | passes the ball | Center Attacking Midfield | Center Attacking Midfield | Nicholas Williams Arthuer | 
17 | pressure | 19:53 | Kobbie Mainoo | applies pressure | Right Defensive Midfield | Right Defensive Midfield | Daniel Olmo Carvajal | 
18 | carry | 19:51 | Daniel Olmo Carvajal | carries the ball | Center Attacking Midfield | Center Attacking Midfield | | 
19 | ball receipt | 19:51 | Daniel Olmo Carvajal | receives the ball | Center Attacking Midfield | Center Attacking Midfield | | 
20 | pass | 19:50 | Lamine Yamal Nasraoui Ebana | passes the ball | Right Wing | Right Wing | Daniel Olmo Carvajal | 
21 | carry | 19:45 | Lamine Yamal Nasraoui Ebana | carries the ball | Right Wing | Right Wing | | 
22 | ball receipt | 19:45 | Lamine Yamal Nasraoui Ebana | receives the ball | Right Wing | Right Wing | | 
23 | pass | 19:44 | Rodrigo Hernández Cascante | passes the ball | Right Defensive Midfield | Right Defensive Midfield | Lamine Yamal Nasraoui Ebana | 
24 | carry | 19:43 | Rodrigo Hernández Cascante | carries the ball | Right Defensive Midfield | Right Defensive Midfield | | 
