
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 041
--------------------------------------------
1 | carry | 41:05 | Nicholas Williams Arthuer | carries the ball | Left Wing | 49.8, 16.1 | Marc Cucurella Saseta | 
212 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
213 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
214 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
215 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
216 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
217 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
218 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
219 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
220 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
221 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
222 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
223 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
224 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
225 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
226 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
227 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
228 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
229 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
230 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
231 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
232 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
233 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 043
--------------------------------------------
1 | clearance | 43:00 | Kyle Walker | clearance | Right Back | Right Back | Álvaro Borja Morata Martín | result not specified  
2 | ball receipt | 43:00 | Álvaro Borja Morata Martín | ball receipt | Center Forward | Center Forward | none | incomplete  
3 | duel | 43:00 | Álvaro Borja Morata Martín | aerial lost | Center Forward | Center Forward | Kyle Walker | result not specified  
4 | ball recovery | 43:03 | Kobbie Mainoo | ball recovery | Right Defensive Midfield | Right Defensive Midfield | none | result not specified  
5 | carry | 43:03 | Kobbie Mainoo | carry | Right Defensive Midfield | Right Defensive Midfield | none | result not specified  
6 | pressure | 43:04 | Fabián Ruiz Peña | pressure | Left Defensive Midfield | Left Defensive Midfield | Kobbie Mainoo | result not specified  
7 | dribble | 43:08 | Kobbie Mainoo | dribble | Right Defensive Midfield | Right Defensive Midfield | none | incomplete  
8 | ball receipt | 43:54 | Robin Aime Robert Le Normand | ball receipt | Right Center Back | Right Center Back | none | result not specified  
9 | duel | 43:08 | Fabián Ruiz Peña | tackle lost | Left Defensive Midfield | Left Defensive Midfield | Kobbie Mainoo | result not specified  
10 | pass | 43:46 | Jordan Pickford | pass | Goalkeeper | Goalkeeper | Harry Kane | result not specified  
11 | ball receipt | 43:50 | Harry Kane | ball receipt | Center Forward | Center Forward | none | result not specified  
12 | pass | 43:50 | Harry Kane | pass | Center Forward | Center Forward | Bukayo Saka | incomplete  
13 | ball receipt | 43:51 | Bukayo Saka | ball receipt | Right Wing | Right Wing | none | incomplete  
14 | ball recovery | 43:51 | Rodrigo Hernández Cascante | ball recovery | Right Defensive Midfield | Right Defensive Midfield | none | result not specified  
15 | carry | 43:51 | Rodrigo Hernández Cascante | carry | Right Defensive Midfield | Right Defensive Midfield | none | result not specified  
16 | pressure | 43:53 | Phil Foden | pressure | Center Attacking Midfield | Center Attacking Midfield | none | result not specified  
17 | pass | 43:53 | Rodrigo Hernández Cascante | pass | Right Defensive Midfield | Right Defensive Midfield | Robin Aime Robert Le Normand | result not specified  
18 | ball receipt | 43:56 | Daniel Carvajal Ramos | ball receipt | Right Back | Right Back | none | result not specified  
19 | carry | 43:56 | Daniel Carvajal Ramos | carry | Right Back | Right Back | none | result not specified  
20 | pressure | 43:54 | Phil Foden | pressure | Center Attacking Midfield | Center Attacking Midfield | none | result not specified  
21 | pass | 43:55 | Robin Aime Robert Le Normand | pass | Right Center Back | Right Center Back | Daniel Carvajal Ramos | result not specified  
22 | ball receipt | 43:56 | Daniel Carvajal Ramos | ball receipt | Right Back | Right Back | none | result not specified  
23 | carry | 43:56 | Daniel Carvajal Ramos | carry | Right Back | Right Back | none | result not specified  
24 | pressure | 43:59 | Jude Bellingham | pressure | Left Wing | Left Wing | none | result not specified  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 044
--------------------------------------------
1 | Pressure | 44:08 | Nicholas Williams Arthuer | applies pressure | Left Wing | Left Wing | Kyle Walker | result not specified  
2 | Foul Committed | 44:08 | Nicholas Williams Arthuer | commits foul | Left Wing | Left Wing | Kyle Walker | result not specified  
3 | Foul Won | 44:08 | Kyle Walker | wins foul | Right Back | Right Back | Nicholas Williams Arthuer | result not specified  
4 | Ball Receipt | 44:04 | Harry Kane | receives ball | Center Forward | Center Forward | result not specified | result not specified  
5 | Carry | 44:04 | Harry Kane | carries ball | Center Forward | Center Forward | result not specified | result not specified  
6 | Pressure | 44:04 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | Harry Kane | result not specified  
7 | Shot | 44:05 | Harry Kane | shoots to goal | Center Forward | Center Forward | result not specified | **goal blocked**  
8 | Block | 44:05 | Rodrigo Hernández Cascante | blocks shot | Right Defensive Midfield | Right Defensive Midfield | Harry Kane | result not specified  
9 | Goal Keeper | 44:05 | Unai Simón Mendibil | saves shot | Goalkeeper | Goalkeeper | Harry Kane | result not specified  
10 | Ball Recovery | 44:08 | Kyle Walker | recovers ball | Right Back | Right Back | result not specified | result not specified  
11 | Dispossessed | 44:00 | Daniel Carvajal Ramos | dispossessed | Right Back | Right Back | Jude Bellingham | result not specified  
12 | Duel | 44:00 | Jude Bellingham | wins tackle | Left Wing | Left Wing | Daniel Carvajal Ramos | result not specified  
13 | Carry | 44:00 | Jude Bellingham | carries ball | Left Wing | Left Wing | result not specified | result not specified  
14 | Carry | 44:08 | Kyle Walker | carries ball | Right Back | Right Back | result not specified | result not specified  
15 | Pass | 44:03 | Jude Bellingham | passes ball | Left Wing | Left Wing | Harry Kane | result not specified  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 045
--------------------------------------------
1 | duel | 00:45:41 | Harry Kane | Aerial Lost | Center Forward | Center Forward | Daniel Carvajal Ramos | result not specified  
2 | clearance | 00:45:41 | Daniel Carvajal Ramos | Clearance | Right Back | Right Back | Harry Kane | result not specified  
3 | ball recovery | 00:45:41 | Phil Foden | Ball Recovery | Center Attacking Midfield | Center Attacking Midfield | none | result not specified  
4 | **goalkeeper saves** | 00:45:42 | Unai Simón Mendibil | Shot Saved | Goalkeeper | Goalkeeper | Phil Foden | **goal saved**  
5 | pass | 00:45:39 | Declan Rice | Pass | Left Defensive Midfield | Left Defensive Midfield | Harry Kane | result not specified  
6 | ball receipt | 00:45:41 | Harry Kane | Ball Receipt | Center Forward | Center Forward | none | result not specified  
7 | **shoots to goal** | 00:45:41 | Phil Foden | Shot | Center Attacking Midfield | Center Attacking Midfield | Unai Simón Mendibil | **goal saved**  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 046
--------------------------------------------
1 | pass | 00:46 | Unai Simón Mendibil | Pass to Aymeric Laporte | Goalkeeper | Ground Pass | None | None  
2 | ball receipt | 00:46 | Aymeric Laporte | Receives ball | Left Center Back | None | Unai Simón Mendibil | None  
3 | pass | 00:46 | Aymeric Laporte | Pass to Lamine Yamal Nasraoui Ebana | Left Center Back | High Pass | None | Out  
4 | ball receipt | 00:46 | Lamine Yamal Nasraoui Ebana | Receives ball | Right Wing | None | Aymeric Laporte | Incomplete  
5 | pass | 00:46 | Jordan Pickford | Goal Kick to Bukayo Saka | Goalkeeper | High Pass | None | Incomplete  
6 | ball receipt | 00:46 | Bukayo Saka | Receives ball | Right Wing | None | Jordan Pickford | Incomplete  
7 | duel | 00:46 | Bukayo Saka | Aerial Lost | Right Wing | None | None | None  
8 | pass | 00:46 | Marc Cucurella Saseta | Recovery pass to Nicholas Williams Arthuer | Left Back | Low Pass | None | Aerial Won  
9 | ball receipt | 00:46 | Nicholas Williams Arthuer | Receives ball | Left Wing | None | Marc Cucurella Saseta | None  
10 | carry | 00:46 | Nicholas Williams Arthuer | Carries ball | Left Wing | None | None | None  
11 | pass | 00:46 | Nicholas Williams Arthuer | Pass to Lamine Yamal Nasraoui Ebana | Left Wing | High Pass | None | None  
12 | ball receipt | 00:46 | Lamine Yamal Nasraoui Ebana | Receives ball | Right Wing | None | Nicholas Williams Arthuer | None  
13 | carry | 00:46 | Lamine Yamal Nasraoui Ebana | Carries ball | Right Wing | None | None | None  
14 | pass | 00:46 | Lamine Yamal Nasraoui Ebana | Pass to Daniel Carvajal Ramos | Right Wing | Ground Pass | None | None  
15 | ball receipt | 00:46 | Daniel Carvajal Ramos | Receives ball | Right Back | None | Lamine Yamal Nasraoui Ebana | None  
16 | pass | 00:46 | Daniel Carvajal Ramos | Pass to Robin Aime Robert Le Normand | Right Back | High Pass | None | None  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 047
--------------------------------------------
47:02 | half end | 00:47 | Spain | end of half | midfield | midfield | England | none  
47:02 | half end | 00:47 | England | end of half | midfield | midfield | Spain | none
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 045
--------------------------------------------
1 | substitution | 45:00 | Rodrigo Hernández Cascante | substitution due to injury | Right Defensive Midfield | Right Defensive Midfield | Martín Zubimendi Ibáñez | N/A  
2 | pass | 45:00 | Álvaro Borja Morata Martín | kick off to Martín Zubimendi Ibáñez | Center Forward | Center Forward | Martín Zubimendi Ibáñez | N/A  
3 | ball receipt | 45:01 | Martín Zubimendi Ibáñez | receives ball | Right Defensive Midfield | Right Defensive Midfield | Álvaro Borja Morata Martín | N/A  
4 | carry | 45:01 | Martín Zubimendi Ibáñez | carries ball | Right Defensive Midfield | Right Defensive Midfield | N/A | N/A  
5 | pass | 45:02 | Martín Zubimendi Ibáñez | passes to Daniel Carvajal Ramos | Right Defensive Midfield | Right Defensive Midfield | Daniel Carvajal Ramos | N/A  
6 | ball receipt | 45:03 | Daniel Carvajal Ramos | receives ball | Right Back | Right Back | Martín Zubimendi Ibáñez | N/A  
7 | carry | 45:03 | Daniel Carvajal Ramos | carries ball | Right Back | Right Back | N/A | N/A  
8 | pass | 45:04 | Daniel Carvajal Ramos | passes to Robin Aime Robert Le Normand | Right Back | Right Back | Robin Aime Robert Le Normand | N/A  
9 | ball receipt | 45:06 | Robin Aime Robert Le Normand | receives ball | Right Center Back | Right Center Back | Daniel Carvajal Ramos | N/A  
10 | carry | 45:06 | Robin Aime Robert Le Normand | carries ball | Right Center Back | Right Center Back | N/A | N/A  
11 | pass | 45:08 | Robin Aime Robert Le Normand | passes to Aymeric Laporte | Right Center Back | Right Center Back | Aymeric Laporte | N/A  
12 | ball receipt | 45:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | Robin Aime Robert Le Normand | N/A  
13 | carry | 45:10 | Aymeric Laporte | carries ball | Left Center Back | Left Center Back | N/A | N/A  
14 | pass | 45:13 | Aymeric Laporte | passes to Robin Aime Robert Le Normand | Left Center Back | Left Center Back | Robin Aime Robert Le Normand | N/A  
15 | ball receipt | 45:14 | Robin Aime Robert Le Normand | receives ball | Right Center Back | Right Center Back | Aymeric Laporte | N/A  
16 | carry | 45:14 | Robin Aime Robert Le Normand | carries ball | Right Center Back | Right Center Back | N/A | N/A  
17 | pass | 45:16 | Robin Aime Robert Le Normand | passes to Unai Simón Mendibil | Right Center Back | Right Center Back | Unai Simón Mendibil | N/A  
18 | ball receipt | 45:19 | Unai Simón Mendibil | receives ball | Goalkeeper | Goalkeeper | Robin Aime Robert Le Normand | N/A  
19 | carry | 45:19 | Unai Simón Mendibil | carries ball | Goalkeeper | Goalkeeper | N/A | N/A  
20 | carry | 45:28 | Marc Cucurella Saseta | carries ball | Left Back | Left Back | N/A | N/A  
21 | pass | 45:22 | Unai Simón Mendibil | passes to Álvaro Borja Morata Martín | Goalkeeper | Goalkeeper | Álvaro Borja Morata Martín | N/A  
22 | ball receipt | 45:24 | Álvaro Borja Morata Martín | receives ball | Center Forward | Center Forward | Unai Simón Mendibil | N/A  
23 | pass | 45:24 | Álvaro Borja Morata Martín | passes to Kobbie Mainoo | Center Forward | Center Forward | Kobbie Mainoo | N/A  
24 | pass | 45:24 | Marc Guehi | passes to Kobbie Mainoo | Left Center Back | Left Center Back | Kobbie Mainoo | N/A  
25 | duel | 45:24 | Álvaro Borja Morata Martín | loses aerial duel | Center Forward | Center Forward | N/A | N/A  
26 | ball receipt | 45:25 | Kobbie Mainoo | receives ball | Right Defensive Midfield | Right Defensive Midfield | N/A | N/A  
27 | ball recovery | 45:25 | Daniel Olmo Carvajal | recovers ball | Center Attacking Midfield | Center Attacking Midfield | N/A | N/A  
28 | carry | 45:25 | Daniel Olmo Carvajal | carries ball | Center Attacking Midfield | Center Attacking Midfield | N/A | N/A  
29 | pass | 45:27 | Daniel Olmo Carvajal | passes to Marc Cucurella Saseta | Center Attacking Midfield | Center Attacking Midfield | Marc Cucurella Saseta | N/A  
30 | ball receipt | 45:28 | Marc Cucurella Saseta | receives ball | Left Back | Left Back | Daniel Olmo Carvajal | N/A  
31 | pass | 45:28 | Marc Cucurella Saseta | passes to Nicholas Williams Arthuer | Left Back | Left Back | Nicholas Williams Arthuer | N/A  
32 | ball receipt | 45:29 | Nicholas Williams Arthuer | receives ball | Left Wing | Left Wing | Marc Cucurella Saseta | N/A  
33 | carry | 45:29 | Nicholas Williams Arthuer | carries ball | Left Wing | Left Wing | N/A | N/A  
34 | pass | 45:29 | Marc Cucurella Saseta | passes to Aymeric Laporte | Left Back | Left Back | Aymeric Laporte | N/A  
35 | ball receipt | 45:31 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | Nicholas Williams Arthuer | N/A  
36 | carry | 45:31 | Aymeric Laporte | carries ball | Left Center Back | Left Center Back | N/A | N/A  
37 | pass | 45:32 | Aymeric Laporte | passes to Robin Aime Robert Le Normand | Left Center Back | Left Center Back | Robin Aime Robert Le Normand | N/A  
38 | ball receipt | 45:32 | Robin Aime Robert Le Normand | receives ball | Right Center Back | Right Center Back | Aymeric Laporte | N/A  
39 | carry | 45:32 | Robin Aime Robert Le Normand | carries ball | Right Center Back | Right Center Back | N/A | N/A  
40 | pass | 45:35 | Marc Cucurella Saseta | passes to Aymeric Laporte | Left Back | Left Back | Aymeric Laporte | N/A  
41 | ball receipt | 45:37 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | Marc Cucurella Saseta | N/A  
42 | carry | 45:37 | Aymeric Laporte | carries ball | Left Center Back | Left Center Back | N/A | N/A  
43 | pass | 45:38 | Aymeric Laporte | passes to Robin Aime Robert Le Normand | Left Center Back | Left Center Back | Robin Aime Robert Le Normand | N/A  
44 | ball receipt | 45:39 | Robin Aime Robert Le Normand | receives ball | Right Center Back | Right Center Back | Aymeric Laporte | N/A  
45 | carry | 45:39 | Robin Aime Robert Le Normand | carries ball | Right Center Back | Right Center Back | N/A | N/A  
46 | pass | 45:41 | Robin Aime Robert Le Normand | passes to Martín Zubimendi Ibáñez | Right Center Back | Right Center Back | Martín Zubimendi Ibáñez | N/A  
47 | ball receipt | 45:42 | Martín Zubimendi Ibáñez | receives ball | Right Defensive Midfield | Right Defensive Midfield | Robin Aime Robert Le Normand | N/A  
48 | carry | 45:42 | Martín Zubimendi Ibáñez | carries ball | Right Defensive Midfield | Right Defensive Midfield | N/A | N/A  
49 | pass | 45:49 | Martín Zubimendi Ibáñez | passes to Marc Cucurella Saseta | Right Defensive Midfield | Right Defensive Midfield | Marc Cucurella Saseta | N/A  
50 | ball receipt | 45:50 | Marc Cucurella Saseta | receives ball | Left Back | Left Back | Martín Zubimendi Ibáñez | N/A  
51 | carry | 45:50 | Marc Cucurella Saseta | carries ball | Left Back | Left Back | N/A | N/A  
52 | pass | 45:51 | Marc Cucurella Saseta | passes to Nicholas Williams Arthuer | Left Back | Left Back | Nicholas Williams Arthuer | N/A  
53 | ball receipt | 45:52 | Nicholas Williams Arthuer | receives ball | Left Wing | Left Wing | Marc Cucurella Saseta | N/A  
54 | carry | 45:52 | Nicholas Williams Arthuer | carries ball | Left Wing | Left Wing | N/A | N/A  
55 | pass | 45:52 | Marc Cucurella Saseta | passes to Aymeric Laporte | Left Back | Left Back | Aymeric Laporte | N/A  
56 | ball receipt | 45:53 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | Marc Cucurella Saseta | N/A  
57 | carry | 45:53 | Aymeric Laporte | carries ball | Left Center Back | Left Center Back | N/A | N/A  
58 | pass | 45:55 | Aymeric Laporte | passes to Robin Aime Robert Le Normand | Left Center Back | Left Center Back | Robin Aime Robert Le Normand | N/A  
59 | ball receipt | 45:55 | Robin Aime Robert Le Normand | receives ball | Right Center Back | Right Center Back | Aymeric Laporte | N/A  
60 | carry | 45:55 | Robin Aime Robert Le Normand | carries ball | Right Center Back | Right Center Back | N/A | N/A  
61 | pass | 45:59 | Robin Aime Robert Le Normand | passes to Fabián Ruiz Peña | Right Center Back | Right Center Back | Fabián Ruiz Peña | N/A  
62 | ball receipt | 45:59 | Fabián Ruiz Peña | receives ball | N/A | N/A | Robin Aime Robert Le Normand | N/A  
63 | carry | 45:59 | Fabián Ruiz Peña | carries ball | N/A | N/A | N/A | N/A  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 046
--------------------------------------------
1 | action type | 00:01 | Fabián Ruiz Peña | Ball Receipt | Left Defensive Midfield | Left Defensive Midfield | Daniel Carvajal Ramos | 
2 | pass | 00:01 | Fabián Ruiz Peña | Pass | Left Defensive Midfield | Left Defensive Midfield | Daniel Carvajal Ramos | 
3 | action type | 00:01 | Daniel Carvajal Ramos | Ball Receipt | Right Back | Right Back | Lamine Yamal Nasraoui Ebana | 
4 | pass | 00:01 | Daniel Carvajal Ramos | Pass | Right Back | Right Back | Lamine Yamal Nasraoui Ebana | 
5 | action type | 00:01 | Luke Shaw | Pressure | Left Back | Left Back | Lamine Yamal Nasraoui Ebana | 
6 | action type | 00:01 | Lamine Yamal Nasraoui Ebana | Ball Receipt | Right Wing | Right Wing | Daniel Carvajal Ramos | 
7 | carry | 00:01 | Lamine Yamal Nasraoui Ebana | Carry | Right Wing | Right Wing | Nicholas Williams Arthuer | 
8 | pass | 00:01 | Lamine Yamal Nasraoui Ebana | Pass | Right Wing | Right Wing | Nicholas Williams Arthuer | 
9 | action type | 00:01 | Nicholas Williams Arthuer | Ball Receipt | Left Wing | Left Wing | Lamine Yamal Nasraoui Ebana | 
10 | shot | 00:01 | Nicholas Williams Arthuer | **Goal** | Left Wing | Left Wing | Jordan Pickford | 
11 | action type | 00:01 | Jordan Pickford | Goal Keeper | Goalkeeper | Goalkeeper | Nicholas Williams Arthuer | No Touch
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 047
--------------------------------------------
1 | carry | 02:36 | Fabián Ruiz Peña | carries the ball | Left Defensive Midfield | 54.3, 3.3 | Aymeric Laporte | 
2 | pressure | 02:37 | Declan Rice | applies pressure | Left Defensive Midfield | 55.9, 75.6 | Fabián Ruiz Peña | 
3 | pass | 02:41 | Fabián Ruiz Peña | passes the ball | Left Defensive Midfield | 55.0, 7.8 | Aymeric Laporte | 
4 | ball receipt | 02:42 | Aymeric Laporte | receives the ball | Left Center Back | 30.1, 12.0 | Fabián Ruiz Peña | 
5 | carry | 02:42 | Aymeric Laporte | carries the ball | Left Center Back | 30.1, 12.0 | Robin Aime Robert Le Normand | 
6 | pass | 02:43 | Aymeric Laporte | passes the ball | Left Center Back | 30.4, 11.0 | Robin Aime Robert Le Normand | 
7 | ball receipt | 02:45 | Robin Aime Robert Le Normand | receives the ball | Right Center Back | 30.1, 33.8 | Aymeric Laporte | 
8 | pass | 02:21 | Kobbie Mainoo | passes the ball | Right Defensive Midfield | 61.0, 40.1 | Jordan Pickford | 
9 | ball receipt | 02:24 | Jordan Pickford | receives the ball | Goalkeeper | 24.5, 39.3 | Kobbie Mainoo | 
10 | carry | 02:24 | Jordan Pickford | carries the ball | Goalkeeper | 24.5, 39.3 | 
11 | pass | 02:28 | Jordan Pickford | passes the ball | Goalkeeper | 36.2, 27.0 | Harry Kane | 
12 | ball receipt | 02:31 | Harry Kane | receives the ball | Center Forward | 94.0, 59.6 | Jordan Pickford | 
13 | duel | 02:31 | Harry Kane | loses aerial duel | Center Forward | 94.7, 59.5 | 
14 | pass | 02:31 | Aymeric Laporte | passes the ball | Left Center Back | 25.4, 20.6 | Nicholas Williams Arthuer | 
15 | ball receipt | 02:33 | Nicholas Williams Arthuer | receives the ball | Left Wing | 32.2, 10.2 | Aymeric Laporte | 
16 | carry | 02:33 | Nicholas Williams Arthuer | carries the ball | Left Wing | 32.2, 10.2 | 
17 | pressure | 02:34 | Bukayo Saka | applies pressure | Right Wing | 88.8, 72.9 | Nicholas Williams Arthuer | 
18 | pass | 02:35 | Nicholas Williams Arthuer | passes the ball | Left Wing | 36.8, 2.4 | Fabián Ruiz Peña | 
19 | ball receipt | 02:36 | Fabián Ruiz Peña | receives the ball | Left Defensive Midfield | 54.3, 3.3 | Nicholas Williams Arthuer | 
20 | carry | 02:45 | Robin Aime Robert Le Normand | carries the ball | Right Center Back | 30.1, 33.8 | 
21 | pass | 02:50 | Robin Aime Robert Le Normand | passes the ball | Right Center Back | 26.2, 47.5 | Unai Simón Mendibil | 
22 | ball receipt | 02:52 | Unai Simón Mendibil | receives the ball | Goalkeeper | 7.3, 39.9 | Robin Aime Robert Le Normand | 
23 | carry | 02:52 | Unai Simón Mendibil | carries the ball | Goalkeeper | 7.3, 39.9 | 
24 | pass | 02:53 | Unai Simón Mendibil | passes the ball | Goalkeeper | 6.8, 37.5 | Aymeric Laporte | 
25 | ball receipt | 02:55 | Aymeric Laporte | receives the ball | Left Center Back | 23.6, 11.6 | Unai Simón Mendibil | 
26 | carry | 02:55 | Aymeric Laporte | carries the ball | Left Center Back | 23.6, 11.6 | 
27 | pass | 02:56 | Aymeric Laporte | passes the ball | Left Center Back | 23.2, 13.8 | Unai Simón Mendibil | 
28 | ball receipt | 02:58 | Unai Simón Mendibil | receives the ball | Goalkeeper | 10.4, 28.8 | Aymeric Laporte | 
29 | carry | 02:58 | Unai Simón Mendibil | carries the ball | Goalkeeper | 10.4, 28.8 | 
30 | pass | 02:59 | Unai Simón Mendibil | passes the ball | Goalkeeper | 10.6, 31.0 | Robin Aime Robert Le Normand | 
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 048
--------------------------------------------
1 | ball receipt | 48:00 | Jude Bellingham | receives ball | Left Wing | Left Wing | - | -
2 | ball receipt | 48:00 | Robin Aime Robert Le Normand | receives ball | Right Center Back | Right Center Back | - | -
3 | carry | 48:00 | Robin Aime Robert Le Normand | carries ball | Right Center Back | Right Center Back | - | -
4 | pass | 48:09 | Robin Aime Robert Le Normand | passes ball | Right Center Back | Right Center Back | Álvaro Borja Morata Martín | -
5 | ball receipt | 48:11 | Álvaro Borja Morata Martín | receives ball | Center Forward | Center Forward | - | -
6 | pass | 48:11 | Álvaro Borja Morata Martín | passes ball | Center Forward | Center Forward | Daniel Carvajal Ramos | -
7 | ball receipt | 48:13 | Daniel Carvajal Ramos | receives ball | Right Back | Right Back | - | -
8 | carry | 48:13 | Daniel Carvajal Ramos | carries ball | Right Back | Right Back | - | -
9 | pass | 48:13 | Daniel Carvajal Ramos | passes ball | Right Back | Right Back | Daniel Olmo Carvajal | -
10 | ball receipt | 48:14 | Daniel Olmo Carvajal | receives ball | Center Attacking Midfield | Center Attacking Midfield | - | -
11 | pass | 48:14 | Daniel Olmo Carvajal | passes ball | Center Attacking Midfield | Center Attacking Midfield | Nicholas Williams Arthuer | -
12 | ball receipt | 48:16 | Nicholas Williams Arthuer | receives ball | Left Wing | Left Wing | - | -
13 | carry | 48:16 | Nicholas Williams Arthuer | carries ball | Left Wing | Left Wing | - | -
14 | pass | 48:17 | Nicholas Williams Arthuer | passes ball | Left Wing | Left Wing | Daniel Olmo Carvajal | -
15 | ball receipt | 48:18 | Daniel Olmo Carvajal | receives ball | Center Attacking Midfield | Center Attacking Midfield | - | -
16 | pass | 48:18 | Daniel Olmo Carvajal | passes ball | Center Attacking Midfield | Center Attacking Midfield | Daniel Olmo Carvajal | -
17 | ball receipt | 48:19 | Daniel Olmo Carvajal | receives ball | Center Attacking Midfield | Center Attacking Midfield | - | -
18 | shot | 48:19 | Daniel Olmo Carvajal | shoots to goal | Center Attacking Midfield | Center Attacking Midfield | - | **goal missed**
19 | goalkeeper save | 48:20 | Jordan Pickford | saves shot | Goalkeeper | Goalkeeper | Daniel Olmo Carvajal | -
20 | pass | 48:43 | Jordan Pickford | passes ball | Goalkeeper | Goalkeeper | John Stones | -
21 | ball receipt | 48:44 | John Stones | receives ball | Right Center Back | Right Center Back | - | -
22 | pass | 48:44 | John Stones | passes ball | Right Center Back | Right Center Back | Phil Foden | -
23 | ball receipt | 48:46 | Phil Foden | receives ball | Center Attacking Midfield | Center Attacking Midfield | - | -
24 | pass | 48:46 | Phil Foden | passes ball | Center Attacking Midfield | Center Attacking Midfield | Kobbie Mainoo | -
25 | ball receipt | 48:47 | Kobbie Mainoo | receives ball | Right Defensive Midfield | Right Defensive Midfield | - | -
26 | carry | 48:47 | Kobbie Mainoo | carries ball | Right Defensive Midfield | Right Defensive Midfield | - | -
27 | pass | 48:48 | Kobbie Mainoo | passes ball | Right Defensive Midfield | Right Defensive Midfield | Declan Rice | -
28 | ball receipt | 48:49 | Declan Rice | receives ball | Left Defensive Midfield | Left Defensive Midfield | - | -
29 | carry | 48:49 | Declan Rice | carries ball | Left Defensive Midfield | Left Defensive Midfield | - | -
30 | pass | 48:49 | Declan Rice | passes ball | Left Defensive Midfield | Left Defensive Midfield | Luke Shaw | -
31 | ball receipt | 48:51 | Luke Shaw | receives ball | Left Back | Left Back | - | -
32 | carry | 48:51 | Luke Shaw | carries ball | Left Back | Left Back | - | -
33 | pass | 48:53 | Luke Shaw | passes ball | Left Back | Left Back | Jude Bellingham | -
34 | ball receipt | 48:55 | Jude Bellingham | receives ball | Left Wing | Left Wing | - | -
35 | carry | 48:55 | Jude Bellingham | carries ball | Left Wing | Left Wing | - | -
