
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 071
--------------------------------------------
1 | ball receipt | 26:01 | Unai Simón Mendibil | received ball | Goalkeeper location | Goalkeeper | Daniel Olmo Carvajal | result not applicable  
13 | pass | 33:50 | Robin Aime Robert Le Normand | passes the ball | Right Center Back | Right Center Back | Aymeric Laporte | N/A  
14 | carry | 33:52 | Aymeric Laporte | carries the ball | Left Center Back | Left Center Back | N/A | N/A  
15 | pass | 33:53 | Aymeric Laporte | passes the ball | Left Center Back | Left Center Back | Robin Aime Robert Le Normand | N/A  
16 | ball receipt | 33:55 | Robin Aime Robert Le Normand | receives the ball | Right Center Back | Right Center Back | N/A | N/A  
17 | carry | 33:55 | Robin Aime Robert Le Normand | carries the ball | Right Center Back | Right Center Back | N/A | N/A  
18 | pass | 33:56 | Robin Aime Robert Le Normand | passes the ball | Right Center Back | Right Center Back | Fabián Ruiz Peña | N/A  
19 | ball receipt | 33:57 | Fabián Ruiz Peña | receives the ball | Left Defensive Midfield | Left Defensive Midfield | N/A | N/A  
20 | carry | 33:57 | Fabián Ruiz Peña | carries the ball | Left Defensive Midfield | Left Defensive Midfield | N/A | N/A  
21 | pass | 33:57 | Fabián Ruiz Peña | passes the ball | Left Defensive Midfield | Left Defensive Midfield | Martín Zubimendi Ibáñez | N/A  
22 | ball receipt | 33:59 | Martín Zubimendi Ibáñez | receives the ball | Right Defensive Midfield | Right Defensive Midfield | N/A | N/A  
23 | carry | 33:59 | Martín Zubimendi Ibáñez | carries the ball | Right Defensive Midfield | Right Defensive Midfield | N/A | N/A  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 079
--------------------------------------------
1 | ball receipt | 34:15 | Robin Aime Robert Le Normand | received the ball | Right Center Back | Right Center Back | Marc Cucurella Saseta | 
2 | pass | 34:07 | Martín Zubimendi Ibáñez | passed the ball | Right Defensive Midfield | Right Defensive Midfield | Marc Cucurella Saseta | 
3 | ball receipt | 34:08 | Marc Cucurella Saseta | received the ball | Left Back | Left Back | Martín Zubimendi Ibáñez | 
4 | carry | 34:08 | Marc Cucurella Saseta | carried the ball | Left Back | Left Back | Martín Zubimendi Ibáñez | 
5 | pass | 34:09 | Marc Cucurella Saseta | passed the ball | Left Back | Left Back | Martín Zubimendi Ibáñez | 
6 | ball receipt | 34:10 | Martín Zubimendi Ibáñez | received the ball | Right Defensive Midfield | Right Defensive Midfield | Marc Cucurella Saseta | 
7 | carry | 34:10 | Martín Zubimendi Ibáñez | carried the ball | Right Defensive Midfield | Right Defensive Midfield | Aymeric Laporte | 
8 | pass | 34:11 | Martín Zubimendi Ibáñez | passed the ball | Right Defensive Midfield | Right Defensive Midfield | Aymeric Laporte | 
9 | ball receipt | 34:13 | Aymeric Laporte | received the ball | Left Center Back | Left Center Back | Martín Zubimendi Ibáñez | 
10 | carry | 34:13 | Aymeric Laporte | carried the ball | Left Center Back | Left Center Back | Robin Aime Robert Le Normand | 
11 | pass | 34:15 | Aymeric Laporte | passed the ball | Left Center Back | Left Center Back | Robin Aime Robert Le Normand | 
12 | carry | 34:15 | Robin Aime Robert Le Normand | carried the ball | Right Center Back | Right Center Back | Fabián Ruiz Peña | 
13 | pass | 34:16 | Robin Aime Robert Le Normand | passed the ball | Right Center Back | Right Center Back | Fabián Ruiz Peña | 
14 | ball receipt | 34:18 | Fabián Ruiz Peña | received the ball | Left Defensive Midfield | Left Defensive Midfield | Robin Aime Robert Le Normand | 
15 | carry | 34:18 | Fabián Ruiz Peña | carried the ball | Left Defensive Midfield | Left Defensive Midfield | Daniel Carvajal Ramos | 
16 | pass | 34:18 | Fabián Ruiz Peña | passed the ball | Left Defensive Midfield | Left Defensive Midfield | Daniel Carvajal Ramos | 
17 | ball receipt | 34:20 | Daniel Carvajal Ramos | received the ball | Right Back | Right Back | Fabián Ruiz Peña | 
18 | carry | 34:20 | Daniel Carvajal Ramos | carried the ball | Right Back | Right Back | Mikel Oyarzabal Ugarte | 
19 | pass | 34:22 | Daniel Carvajal Ramos | passed the ball | Right Back | Right Back | Mikel Oyarzabal Ugarte | 
20 | ball receipt | 34:25 | Mikel Oyarzabal Ugarte | received the ball | Center Forward | Center Forward | Daniel Carvajal Ramos | 
21 | carry | 34:25 | Mikel Oyarzabal Ugarte | carried the ball | Center Forward | Center Forward | Mikel Oyarzabal Ugarte | 
22 | miscontrol | 34:26 | Mikel Oyarzabal Ugarte | miscontrolled the ball | Center Forward | Center Forward | Mikel Oyarzabal Ugarte | 
23 | pass | 34:58 | Jordan Pickford | goal kick | Goalkeeper | Goalkeeper | |
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 080
--------------------------------------------
80 | pass | 35:57 | Phil Foden | Pass to Jude Bellingham | Left Wing | Ground Pass | None | None  
80 | pass | 35:01 | Aymeric Laporte | Recovery pass to Martín Zubimendi Ibáñez | Left Center Back | Low Pass | None | None  
80 | ball receipt | 35:02 | Martín Zubimendi Ibáñez | Receives ball from Aymeric Laporte | Right Defensive Midfield | None | None | None  
80 | carry | 35:02 | Martín Zubimendi Ibáñez | Carries ball | Right Defensive Midfield | None | None | None  
80 | pass | 35:03 | Martín Zubimendi Ibáñez | Pass to Unai Simón Mendibil | Right Defensive Midfield | Ground Pass | None | None  
80 | ball receipt | 35:05 | Unai Simón Mendibil | Receives ball from Martín Zubimendi Ibáñez | Goalkeeper | None | None | None  
80 | carry | 35:05 | Unai Simón Mendibil | Carries ball | Goalkeeper | None | None | None  
80 | pass | 35:09 | Unai Simón Mendibil | Pass to Aymeric Laporte | Goalkeeper | Ground Pass | None | None  
80 | ball receipt | 35:10 | Aymeric Laporte | Receives ball from Unai Simón Mendibil | Left Center Back | None | None | None  
80 | pressure | 35:03 | Cole Palmer | Pressures Martín Zubimendi Ibáñez | Center Attacking Midfield | None | None | None  
80 | pressure | 35:59 | Martín Zubimendi Ibáñez | Pressures England | Right Defensive Midfield | None | None | None  
80 | carry | 35:10 | Aymeric Laporte | Carries ball | Left Center Back | None | None | None  
80 | pass | 35:16 | Aymeric Laporte | Pass to Robin Aime Robert Le Normand | Left Center Back | Ground Pass | None | None  
80 | ball receipt | 35:17 | Robin Aime Robert Le Normand | Receives ball from Aymeric Laporte | Right Center Back | None | None | None  
80 | carry | 35:17 | Robin Aime Robert Le Normand | Carries ball | Right Center Back | None | None | None  
80 | block | 35:54 | Phil Foden | Blocks pass | Left Wing | None | None | None  
80 | pass | 35:22 | Robin Aime Robert Le Normand | Pass to Aymeric Laporte | Right Center Back | Ground Pass | None | None  
80 | ball receipt | 35:24 | Aymeric Laporte | Receives ball from Robin Aime Robert Le Normand | Left Center Back | None | None | None  
80 | carry | 35:24 | Aymeric Laporte | Carries ball | Left Center Back | None | None | None  
80 | pass | 35:28 | Aymeric Laporte | Pass to Robin Aime Robert Le Normand | Left Center Back | Ground Pass | None | None  
80 | ball receipt | 35:30 | Robin Aime Robert Le Normand | Receives ball from Aymeric Laporte | Right Center Back | None | None | None  
80 | carry | 35:30 | Robin Aime Robert Le Normand | Carries ball | Right Center Back | None | None | None  
80 | carry | 35:38 | Aymeric Laporte | Carries ball | Left Center Back | None | None | None  
80 | pressure | 35:44 | Bukayo Saka | Pressures Aymeric Laporte | Right Wing | None | None | None  
80 | pass | 35:45 | Aymeric Laporte | Pass to Martín Zubimendi Ibáñez | Left Center Back | Ground Pass | None | None  
80 | ball receipt | 35:45 | Martín Zubimendi Ibáñez | Receives ball from Aymeric Laporte | Right Defensive Midfield | None | None | None  
80 | carry | 35:45 | Martín Zubimendi Ibáñez | Carries ball | Right Defensive Midfield | None | None | None  
80 | pass | 35:54 | Fabián Ruiz Peña | Pass to Daniel Carvajal Ramos | Left Defensive Midfield | Ground Pass | None | None  
80 | ball receipt | 35:54 | Daniel Carvajal Ramos | Receives ball from Fabián Ruiz Peña | Right Back | None | None | None  
80 | 50/50 | 35:55 | Fabián Ruiz Peña | Loses 50/50 | Left Defensive Midfield | None | None | None  
80 | 50/50 | 35:55 | Phil Foden | Wins 50/50 | Left Wing | None | None | None  
80 | block | 35:55 | Declan Rice | Blocks pass | Left Defensive Midfield | None | None | None  
80 | carry | 35:58 | Jude Bellingham | Carries ball | Right Defensive Midfield | None | None | None  
80 | ball recovery | 35:56 | Phil Foden | Recovers ball | Left Wing | None | None | None  
80 | carry | 35:56 | Phil Foden | Carries ball | Left Wing | None | None | None  
80 | pressure | 35:57 | Daniel Olmo Carvajal | Pressures Phil Foden | Center Attacking Midfield | None | None | None  
80 | block | 35:54 | Fabián Ruiz Peña | Blocks pass | Left Defensive Midfield | None | None | None  
80 | pass | 35:54 | Fabián Ruiz Peña | Incomplete pass to Daniel Carvajal Ramos | Left Defensive Midfield | Ground Pass | None | None  
